book,chapter,verse,start,end
1,20,9,5294.3336,5311.5916
1,20,10,5312.2183,5317.9348
1,20,11,5318.2258,5329.2975
1,20,12,5329.6668,5337.3922
1,20,13,5337.9294,5351.6815
1,20,14,5352.9574,5361.5837
1,20,15,5361.7404,5367.9157
1,20,16,5368.5312,5380.5375
1,20,17,5382.4009,5391.7323
1,20,18,5392.2695,5400.4873
1,21,1,5406.595,5414.727
1,21,2,5414.923,5423.173
1,21,3,5423.593,5430.742
1,21,4,5430.938,5438.955
1,21,5,5439.403,5445.555
1,21,6,5445.947,5454.159
1,21,7,5454.662,5462.903
1,21,8,5463.08,5472.384
1,21,9,5474.174,5481.231
1,21,10,5481.623,5492.408
1,21,11,5492.613,5498.308
1,21,12,5498.308,5515.527
1,21,13,5515.881,5522.276
1,21,14,5524.84,5542.973
1,21,15,5543.215,5551.046
1,21,16,5551.149,5567.64
1,21,17,5567.948,5586.313
1,21,18,5586.406,5594.749
1,21,19,5596.278,5608.285
1,21,20,5608.854,5617.98
1,21,21,5618.334,5626.137
1,21,22,5627.787,5639.776
1,21,23,5639.776,5656.744
1,21,24,5656.794,5661.59
1,21,25,5663.387,5673.537
1,21,26,5673.604,5685.358
1,21,27,5686.83,5693.977
1,21,28,5694.513,5699.647
1,21,29,5699.831,5709.839
1,21,30,5710.107,5720.909
1,21,31,5721.127,5728.795
1,21,32,5729.415,5739.54
1,21,33,5739.54,5747.365
1,21,34,5747.432,5753.006
1,22,1,5755.485,5766.723
1,22,2,5767.091,5785.789
1,22,3,5786.476,5805.529
1,22,4,5805.981,5814.023
1,22,5,5814.157,5828.011
1,22,6,5828.379,5842.827
1,22,7,5843.631,5859.11
1,22,8,5859.495,5869.014
1,22,9,5870.438,5887.312
1,22,10,5887.714,5895.453
1,22,11,5895.852,5906.366
1,22,12,5907.756,5925.419
1,22,13,5925.686,5943.193
1,22,14,5944.762,5955.396
1,22,15,5957.004,5961.652
1,22,16,5961.652,5974.793
1,22,17,5974.96,5991.21
1,22,18,5991.739,6000.48
1,22,19,6000.899,6013.169
1,22,20,6014.948,6025.654
1,22,21,6026.173,6032.937
1,22,22,6032.987,6039.883
1,22,23,6040.352,6048.424
1,22,24,6048.926,6059.225
1,23,1,6064.708,6073.002
1,23,2,6073.203,6084.066
1,23,3,6085.424,6091.474
1,23,4,6091.926,6100.632
1,23,5,6100.883,6105.174
1,23,6,6105.408,6120.777
1,23,7,6121.162,6126.395
1,23,8,6127.098,6138.456
1,23,9,6139.578,6152.234
1,23,10,6152.842,6165.601
1,23,11,6165.785,6179.78
1,23,12,6180.986,6185.102
1,23,13,6185.219,6199.449
1,23,14,6199.667,6203.493
1,23,15,6203.543,6214.363
1,23,16,6216.279,6229.363
1,23,17,6229.966,6244.011
1,23,18,6244.547,6252.122
1,23,19,6252.675,6263.613
1,23,20,6264.149,6273.294
1,24,1,6275.715,6282.691
1,24,2,6283.093,6292.342
1,24,3,6292.627,6305.801
1,24,4,6307.077,6313.304
1,24,5,6313.689,6327.4
1,24,6,6328.02,6335.498
1,24,7,6335.632,6356.522
1,24,8,6357.946,6368.713
1,24,9,6369.249,6378.283
1,24,10,6380.259,6393.735
1,24,11,6394.137,6403.165
1,24,12,6404.488,6414.624
1,24,13,6414.758,6422.53
1,24,14,6423.016,6444.257
1,24,15,6444.647,6459.369
1,24,16,6459.453,6470.512
1,24,17,6470.512,6478.501
1,24,18,6478.836,6487.319
1,24,19,6487.637,6495.163
1,24,20,6495.833,6506.421
1,24,21,6507.091,6514.449
1,24,22,6514.6,6529.466
1,24,23,6529.633,6538.821
1,24,24,6538.905,6546.683
1,24,25,6548.073,6552.607
1,24,26,6552.674,6557.851
1,24,27,6557.884,6572.494
1,24,28,6572.628,6578.873
1,24,29,6580.045,6587.063
1,24,30,6588.442,6604.93
1,24,31,6605.064,6615.434
1,24,32,6615.752,6629.8
1,24,33,6630.292,6640.848
1,24,34,6641.635,6645.655
1,24,35,6645.806,6659.198
1,24,36,6660.337,6669.431
1,24,37,6669.582,6679.699
1,24,38,6680.134,6687.789
1,24,39,6688.241,6693.882
